angry,dates,haha,like,love,messages,sad,wow,url
22,2017-10-05T22:12:06+0000,98,355,4,Jueza suspendida por caso Quirinito dice que actuó apegada a las leyes http://bit.ly/2yMsKSF,3,21,http://bit.ly/2yMsKSF
2,2017-10-05T22:00:00+0000,1,21,0,Collado atribuye a transición el cúmulo de basura en el Gran Santo Domingo https://buff.ly/2fUBe6n,3,0,https://buff.ly/2fUBe6n
3,2017-10-05T21:45:00+0000,11,576,6,Dominicano enfrenta 10 años de cárcel por entrar de manera ilegal a USA tras ser deportado https://buff.ly/2yrc72K,21,87,https://buff.ly/2yrc72K
0,2017-10-05T21:30:00+0000,0,70,1,Video: Reforestación con un toque muy especial en Nigua https://buff.ly/2ys47hR,0,1,https://buff.ly/2ys47hR
0,2017-10-05T21:30:00+0000,0,73,3,En #GastroClubDL: Sabores cocolos y árabes en la gastronomía nacional https://buff.ly/2xkN7W7,0,0,https://buff.ly/2xkN7W7
13,2017-10-05T21:15:00+0000,34,63,0,Colegio de Abogados pide respetar investidura de jueces investigados por caso Quirinito https://buff.ly/2fUzdXR,0,2,https://buff.ly/2fUzdXR
0,2017-10-05T21:00:00+0000,0,10,0,16% de los hijos de las víctimas de violencia de género también son golpeados https://buff.ly/2xkGyCG,1,0,https://buff.ly/2xkGyCG
0,2017-10-05T20:45:00+0000,0,16,1,Líderes catalanes estudian fecha para declarar independencia https://buff.ly/2xkKwLy,0,2,https://buff.ly/2xkKwLy
78,2017-10-05T20:30:00+0000,396,879,8,Creen que caso “Quirinito” pone en juego credibilidad de justicia en el país https://buff.ly/2xkTrg8,2,27,https://buff.ly/2xkTrg8
0,2017-10-05T20:19:34+0000,0,9,0,En #EstilosRD: Cómo prepararte ante un desastre natural https://buff.ly/2y2XzVP,0,0,https://buff.ly/2y2XzVP
0,2017-10-05T20:16:19+0000,16,694,29,El fuerte mensaje de Amara La Negra para los que critican fotos de ella desnuda https://buff.ly/2xWRjNt,1,4,https://buff.ly/2xWRjNt
67,2017-10-05T20:15:38+0000,1,252,0,Mujer se roba un bebé de la maternidad La Altagracia https://buff.ly/2xXs7q8,30,76,https://buff.ly/2xXs7q8
0,2017-10-05T20:15:00+0000,22,2554,59,Raymond y Miguel: “Siempre hemos sido revolucionarios en lo que hacemos” https://buff.ly/2xkTk4c,0,4,https://buff.ly/2xkTk4c
0,2017-10-05T20:00:50+0000,101,270,2,Guido Gómez cuestiona “qué mosquito picó a Vargas Maldonado” que ahora favorece padrón abierto https://buff.ly/2xVGe1K,0,10,https://buff.ly/2xVGe1K
6,2017-10-05T20:00:00+0000,1,200,8,Estudiantes UASD critican al presidente de la Federación de Estudiantes Dominicanos https://buff.ly/2xlqoZW,1,3,https://buff.ly/2xlqoZW
0,2017-10-05T19:45:00+0000,3,36,1,Comentarios de Trump sobre Puerto Rico afectan bonos https://buff.ly/2xYGYkp,0,2,https://buff.ly/2xYGYkp
0,2017-10-05T19:37:09+0000,0,123,0,Se forma la tormenta Nate próximo a Centroamérica https://buff.ly/2xl2m11,9,23,https://buff.ly/2xl2m11
1,2017-10-05T19:31:01+0000,0,53,0,Aplazan medida de coerción al presidente de la FED https://buff.ly/2yL2W9o,0,0,https://buff.ly/2yL2W9o
0,2017-10-05T19:30:00+0000,9,2949,536,“Carpinteros” compite en el Oscar a la Mejor Película de Lengua Extranjera https://buff.ly/2hOVp6j,1,274,https://buff.ly/2hOVp6j
4,2017-10-05T19:21:34+0000,126,720,7,Video: El pueblo colombiano donde la moneda es la cocaína https://buff.ly/2y2CZVn,20,205,https://buff.ly/2y2CZVn
0,2017-10-05T19:15:00+0000,0,13,1,Huracanes habrían dejado pérdidas millonarias al sector detallista en el país https://buff.ly/2fNr8R1,0,0,https://buff.ly/2fNr8R1
3,2017-10-05T19:13:02+0000,1,679,2,Desaparece joven del sector de Herrera que salió a comprar un celular https://buff.ly/2ytrqYE,257,123,https://buff.ly/2ytrqYE
44,2017-10-05T19:00:00+0000,151,547,14,"Netflix sube sus tarifas en 10%, 22 días antes del debut de Strangers Things https://buff.ly/2xWFd6X",22,122,https://buff.ly/2xWFd6X
0,2017-10-05T18:57:18+0000,1,425,16,"Carmen Muñoz, Miss RD Universo hace aclaración sobre su estado de salud https://buff.ly/2hR5e3T",0,0,https://buff.ly/2hR5e3T
0,2017-10-05T18:45:00+0000,0,182,1,Puerto Rico organiza su temporada de béisbol con grandes limitaciones. Aquí los detalles https://buff.ly/2xXSwo0,33,4,https://buff.ly/2xXSwo0
2,2017-10-05T18:33:00+0000,10,151,8,Luis Abinader exhorta al Gobierno encarar situación de los médicos y cumplir con los acuerdos https://buff.ly/2xUsvbo,0,0,https://buff.ly/2xUsvbo
2,2017-10-05T18:01:54+0000,5,194,0,"Autor de la masacre de Las Vegas planificó atacar Lollapalooza, al que asistió hija de los Obama https://buff.ly/2xkNrUu",1,27,https://buff.ly/2xkNrUu
0,2017-10-05T17:00:00+0000,1,130,16,En #GastroClubDL: 9 razones científicas para amar el chocolate https://buff.ly/2xk9gUq,0,0,https://buff.ly/2xk9gUq
186,2017-10-05T16:17:08+0000,86,5671,804,"Tribunal ordena transfusión de sangre a recién nacida cuyos padres se oponían porque son Testigos de Jehová http://bit.ly/2xVN0Vm

¿Debieron las autoridades respetar la decisión de los padres?",113,693,http://bit.ly/2xVN0Vm
0,2017-10-05T16:02:03+0000,0,21,0,"En #EstilosRD: Shia LaBeouf, entre el tenis y Hollywood https://buff.ly/2xXh807",0,0,https://buff.ly/2xXh807
0,2017-10-05T15:21:12+0000,0,21,0,Brigadas del Ayuntamiento del Distrito Nacional trabajarán 24 horas http://bit.ly/2xk4Bqm,0,0,http://bit.ly/2xk4Bqm
0,2017-10-05T15:10:00+0000,14,6490,1053,Romeo llena seis aviones para ayudar a damnificados de huracanes y terremoto http://bit.ly/2yKEXHp,1,338,http://bit.ly/2yKEXHp
